LocalAuthorityCode,LocalAuthority,A ,B ,C ,D ,E ,F ,G ,H ,I 
E07000203,Mid Suffolk,831,968,1104,1241,1514,1787,2072,2482,2482
E07000228,Mid Sussex,963,1121,1279,1437,1754,2070,2401,2875,2875
E07000210,Mole Valley,1108,1289,1471,1653,2017,2380,2760,3306,3306
W06000021,Monmouthshire,856,999,1142,1285,1570,1856,2141,2569,2997
W06000012,Neath Port Talbot,1028,1200,1371,1542,1885,2228,2570,3084,3599
E07000091,New Forest,858,999,1140,1281,1563,1845,2140,2563,2563
E07000175,Newark and Sherwood,801,933,1064,1196,1459,1722,1997,2391,2391
E07000195,Newcastle-under-Lyme,638,743,848,953,1162,1372,1591,1905,1905
E09000025,Newham,507,591,674,757,924,1090,1264,1514,1514
W06000022,Newport,734,856,979,1101,1346,1590,1835,2202,2569
E07000043,North Devon,781,909,1037,1165,1422,1678,1946,2331,2331
E07000050,North Dorset,949,1104,1260,1416,1727,2039,2365,2832,2832
E07000038,North East Derbyshire,710,827,944,1060,1294,1527,1771,2121,2121
E07000099,North Hertfordshire,846,985,1123,1262,1540,1818,2108,2524,2524
E07000139,North Kesteven,715,833,950,1067,1302,1537,1783,2135,2135
E07000147,North Norfolk,726,845,964,1083,1322,1560,1809,2166,2166
E07000218,North Warwickshire,781,909,1037,1165,1421,1678,1946,2330,2330
E07000134,North West Leicestershire,733,854,974,1095,1336,1576,1828,2189,2189
E07000154,Northampton,655,762,870,977,1192,1407,1632,1954,1954
E07000148,Norwich,561,653,745,837,1021,1206,1398,1675,1675
E07000219,Nuneaton and Bedworth,668,777,887,996,1216,1435,1664,1993,1993
E07000135,Oadby and Wigston,739,861,982,1103,1346,1589,1843,2207,2207
E07000178,Oxford,843,982,1120,1259,1536,1813,2102,2518,2518
W06000009,Pembrokeshire,670,782,893,1005,1228,1451,1675,2010,2345
E07000122,Pendle,606,706,805,904,1103,1302,1510,1809,1809
W06000023,Powys,837,976,1115,1255,1534,1812,2091,2510,2928
E07000123,Preston,651,757,864,971,1185,1398,1621,1942,1942
E07000051,Purbeck,965,1123,1282,1440,1757,2074,2405,2880,2880
E09000026,Redbridge,733,853,974,1094,1335,1575,1827,2188,2188
E07000236,Redditch,718,836,954,1072,1308,1544,1790,2144,2144
E07000211,Reigate and Banstead,1068,1243,1419,1594,1945,2296,2662,3188,3188
W06000016,Rhondda Cynon Taf,974,1137,1299,1461,1786,2111,2435,2923,3410
E07000124,Ribble Valley,856,997,1137,1278,1559,1840,2134,2556,2556
E09000027,Richmond upon Thames,1103,1284,1465,1646,2008,2371,2749,3293,3293
E07000166,Richmondshire,953,1109,1265,1422,1735,2047,2375,2844,2844
E07000075,Rochford,882,1027,1172,1316,1606,1896,2198,2633,2633
E07000125,Rossendale,629,732,836,939,1145,1352,1568,1878,1878
E07000064,Rother,888,1033,1179,1325,1616,1908,2212,2650,2650
E07000220,Rugby,799,931,1062,1193,1455,1718,1992,2386,2386
E07000212,Runnymede,966,1125,1283,1442,1759,2076,2408,2884,2884
E07000176,Rushcliffe,922,1074,1225,1376,1679,1982,2298,2753,2753
E07000092,Rushmoor,784,913,1042,1171,1428,1686,1955,2341,2341
E07000167,Ryedale,863,1005,1147,1289,1572,1855,2152,2577,2577
E07000168,Scarborough,691,805,918,1032,1258,1485,1723,2063,2063
E07000188,Sedgemoor,696,810,925,1039,1268,1496,1735,2078,2078
E07000169,Selby,806,939,1071,1203,1468,1733,2010,2407,2407
E07000111,Sevenoaks,1022,1189,1357,1525,1860,2196,2546,3049,3049
E07000112,Shepway,749,872,995,1118,1364,1610,1867,2236,2236
E07000006,South Bucks,1164,1355,1546,1737,2119,2501,2901,3474,3474
E07000012,South Cambridgeshire,986,1148,1310,1471,1795,2119,2457,2943,2943
E07000039,South Derbyshire,751,874,998,1121,1368,1614,1872,2242,2242
E07000044,South Hams,904,1052,1200,1349,1645,1942,2252,2698,2698
E07000140,South Holland,641,747,852,957,1168,1378,1599,1915,1915
E07000141,South Kesteven,693,806,920,1034,1261,1489,1726,2067,2067
E07000031,South Lakeland,895,1042,1189,1336,1629,1923,2230,2671,2671
E07000149,South Norfolk,808,940,1073,1205,1470,1736,2013,2411,2411
E07000155,South Northamptonshire,891,1038,1184,1330,1623,1916,2222,2660,2660
E07000179,South Oxfordshire,988,1150,1313,1475,1799,2124,2463,2949,2949
E07000126,South Ribble,734,854,975,1095,1336,1577,1829,2190,2190
E07000189,South Somerset,771,897,1024,1150,1403,1656,1921,2300,2300
E07000196,South Staffordshire,772,899,1026,1152,1406,1659,1924,2305,2305
E09000028,Southwark,540,628,717,806,983,1160,1345,1611,1611
E07000213,Spelthorne,953,1109,1266,1422,1735,2048,2375,2845,2845
E07000240,St Albans,998,1162,1326,1490,1818,2146,2488,2980,2980
E07000204,St Edmundsbury,774,901,1028,1155,1409,1663,1928,2309,2309
E07000197,Stafford,745,867,990,1112,1357,1601,1857,2224,2224
E07000198,Staffordshire Moorlands,728,847,967,1086,1325,1564,1814,2173,2173
E07000243,Stevenage,678,789,901,1012,1234,1457,1690,2024,2024
E07000221,Stratford-on-Avon,935,1089,1242,1396,1703,2010,2331,2792,2792
E07000082,Stroud,845,984,1123,1261,1539,1816,2107,2523,2523
E07000205,Suffolk Coastal,805,938,1070,1202,1466,1731,2007,2404,2404
E07000214,Surrey Heath,1138,1325,1512,1699,2073,2447,2837,3398,3398
E09000029,Sutton,804,936,1068,1200,1464,1728,2004,2400,2400
E07000113,Swale,683,796,908,1020,1244,1469,1703,2040,2040
W06000011,Swansea,853,996,1138,1280,1565,1849,2134,2560,2987
E07000199,Tamworth,615,715,816,917,1119,1321,1532,1835,1835
E07000215,Tandridge,1121,1305,1489,1673,2041,2409,2794,3346,3346
E07000190,Taunton Deane,725,845,964,1083,1321,1559,1808,2166,2166
E07000045,Teignbridge,815,948,1082,1216,1483,1751,2030,2432,2432
E07000076,Tendring,639,744,848,953,1163,1373,1592,1907,1907
E07000093,Test Valley,852,992,1132,1272,1551,1831,2124,2543,2543
E07000083,Tewkesbury,801,932,1064,1195,1458,1721,1996,2390,2390
E07000114,Thanet,614,714,815,916,1117,1319,1530,1832,1832
E07000102,Three Rivers,991,1154,1316,1479,1804,2130,2470,2958,2958
E07000115,Tonbridge and Malling,921,1072,1223,1374,1677,1979,2295,2749,2749
W06000020,Torfaen,862,1006,1150,1294,1581,1869,2156,2587,3018
E07000046,Torridge,752,876,999,1123,1369,1616,1875,2245,2245
E09000030,Tower Hamlets,538,626,715,803,980,1157,1341,1606,1606
E07000116,Tunbridge Wells,892,1038,1184,1331,1623,1916,2222,2661,2661
E07000077,Uttlesford,1001,1165,1330,1494,1823,2151,2495,2988,2988
W06000014,Vale of Glamorgan,840,981,1121,1261,1541,1821,2101,2521,2942
E07000180,Vale of White Horse,964,1122,1280,1438,1755,2071,2402,2876,2876
E09000031,Waltham Forest,645,750,856,962,1174,1385,1607,1924,1924
E09000032,Wandsworth,401,466,532,598,729,861,998,1196,1196
E07000222,Warwick,874,1017,1161,1304,1591,1878,2178,2609,2609
E07000103,Watford,814,947,1081,1214,1482,1749,2028,2429,2429
E07000206,Waveney,613,713,814,915,1116,1317,1527,1829,1829
E07000216,Waverley,1106,1288,1470,1651,2015,2378,2758,3303,3303
E07000065,Wealden,1024,1192,1360,1529,1865,2201,2553,3057,3057
E07000156,Wellingborough,618,719,820,922,1125,1328,1540,1844,1844
E07000241,Welwyn Hatfield,844,982,1121,1260,1537,1814,2103,2519,2519
E07000047,West Devon,866,1008,1150,1292,1576,1860,2158,2584,2584
E07000052,West Dorset,912,1061,1211,1361,1660,1959,2272,2721,2721
E07000127,West Lancashire,724,843,962,1081,1318,1556,1805,2161,2161
E07000142,West Lindsey,683,796,908,1020,1244,1469,1703,2040,2040
E07000181,West Oxfordshire,928,1080,1233,1385,1690,1994,2313,2770,2770
E07000191,West Somerset,752,876,999,1123,1370,1617,1875,2245,2245
E09000033,Westminster,463,539,615,692,844,996,1155,1383,1383
E07000053,Weymouth and Portland,756,880,1004,1128,1376,1624,1883,2256,2256
E07000094,Winchester,915,1065,1215,1366,1666,1966,2281,2731,2731
E07000217,Woking,1027,1195,1364,1533,1870,2207,2559,3065,3065
E07000237,Worcester,689,803,916,1029,1255,1482,1718,2058,2058
E07000229,Worthing,753,876,1000,1124,1371,1618,1876,2247,2247
W06000006,Wrexham,825,963,1101,1238,1513,1788,2063,2476,2889
E07000238,Wychavon,855,995,1135,1276,1556,1837,2130,2551,2551
E07000007,Wycombe,935,1089,1242,1396,1703,2010,2331,2792,2792
E07000128,Wyre,700,815,929,1044,1274,1504,1744,2089,2089
E07000239,Wyre Forest,714,831,948,1065,1299,1534,1778,2130,2130
