AgeRange,Occupation,ThousandEmployed,MedianAnnualWage,Percentage,PercentageAdded
40-49,"Culture, media and sports occupations",20,31487,1,54
40-49,Business and public service associate professionals,232,40952,9,59
40-49,Administrative and secretarial occupations,113,26010,4,61
40-49,Administrative occupations,109,26127,4,63
40-49,Secretarial and related occupations,5,20798,0,63
40-49,Skilled trades occupations,366,28020,14,70
40-49,Skilled agricultural and related trades,20,20840,1,70
40-49,"Skilled metal, electrical and electronic trades",223,30861,8,74
40-49,Skilled construction and building trades,66,26705,2,76
40-49,"Textiles, printing and other skilled trades",57,21471,2,77
40-49,"Caring, leisure and other service occupations",59,20478,2,78
40-49,Caring personal service occupations,38,20067,1,78
40-49,"Leisure, travel and related personal service occupations",21,22346,1,79
40-49,Sales and customer service occupations,72,22026,3,80
40-49,Sales occupations,46,21163,2,81
40-49,Customer service occupations,25,24127,1,82
40-49,"Process, plant and machine operatives",298,26292,11,87
40-49,"Process, plant and machine operatives",126,25318,5,90
40-49,Transport and mobile machine drivers and operatives,172,26795,6,93
40-49,Elementary occupations,194,21670,7,96
40-49,Elementary trades and related occupations,39,21249,1,97
40-49,Elementary administration and service occupations,155,21765,6,100
50-59,"Managers, directors and senior officials",405,50000,18,9
50-59,Corporate managers and directors,359,52407,16,17
50-59,Other managers and proprietors,46,35019,2,18
50-59,Professional occupation,462,44078,21,28
50-59,"Science, research, engineering and technology professionals",185,44475,8,33
50-59,Health professionals,56,45891,2,34
50-59,Teaching and educational professionals,87,43317,4,36
50-59,"Business, media and public service professionals",134,43093,6,39
50-59,Associate professional and technical occupations,357,37164,16,47
50-59,"Science, engineering and technology associate professionals",89,33707,4,49
50-59,Health and social care associate professionals,17,28797,1,49
50-59,Protective service occupations,47,39661,2,50
50-59,"Culture, media and sports occupations",10,32046,0,50
50-59,Business and public service associate professionals,193,40140,9,55
50-59,Administrative and secretarial occupations,105,26433,5,57
50-59,Administrative occupations,102,26668,5,59
50-59,Skilled trades occupations,329,29360,15,67
50-59,Skilled agricultural and related trades,18,20293,1,67
50-59,"Skilled metal, electrical and electronic trades",218,31869,10,72
50-59,Skilled construction and building trades,59,28106,3,73
50-59,"Textiles, printing and other skilled trades",33,22616,1,74
50-59,"Caring, leisure and other service occupations",59,21174,3,75
50-59,Caring personal service occupations,32,20167,1,76
50-59,"Leisure, travel and related personal service occupations",26,22683,1,76
50-59,Sales and customer service occupations,53,20741,2,78
50-59,Sales occupations,36,19242,2,78
50-59,Customer service occupations,16,26156,1,79
50-59,"Process, plant and machine operatives",292,25441,13,85
50-59,"Process, plant and machine operatives",114,25530,5,88
50-59,Transport and mobile machine drivers and operatives,178,25426,8,92
50-59,Elementary occupations,183,21434,8,96
50-59,Elementary trades and related occupations,36,21206,2,97
50-59,Elementary administration and service occupations,147,21510,7,100
60,"Managers, directors and senior officials",118,41463,17,9
60,Corporate managers and directors,103,43087,15,16
60,Professional occupation,116,41482,16,25
60,"Science, research, engineering and technology professionals",44,41838,6,28
60,Teaching and educational professionals,22,49233,3,29
60,"Business, media and public service professionals",39,38199,6,32
60,Associate professional and technical occupations,85,32552,12,38
60,"Science, engineering and technology associate professionals",25,28818,4,40
60,Business and public service associate professionals,49,36026,7,44
60,Administrative and secretarial occupations,39,24003,6,47
60,Administrative occupations,37,24172,5,49
60,Skilled trades occupations,119,26631,17,58
60,Skilled agricultural and related trades,8,18688,1,59
60,"Skilled metal, electrical and electronic trades",74,29756,11,64
60,Skilled construction and building trades,22,24540,3,66
60,"Textiles, printing and other skilled trades",15,20825,2,67
60,"Caring, leisure and other service occupations",23,19830,3,68
60,Caring personal service occupations,12,19890,2,69
60,"Leisure, travel and related personal service occupations",10,19742,1,70
60,Sales and customer service occupations,16,20100,2,71
60,Sales occupations,11,18967,2,72
60,Customer service occupations,5,23967,1,72
60,"Process, plant and machine operatives",116,23542,16,81
60,"Process, plant and machine operatives",41,22132,6,84
60,Transport and mobile machine drivers and operatives,75,23935,11,89
60,Elementary occupations,75,20274,11,95
60,Elementary trades and related occupations,16,20027,2,96
60,Elementary administration and service occupations,58,20302,8,100
