Help,Deprivation Decile (WIMD 2014),Sex,Age,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal
9Male,9,Male,FiftyToFiftyfour,37,40,40,54,58,66,72,78,100,0
9Male,9,Male,FiftyfiveToFiftyNine,47,51,52,68,71,76,80,84,100,0
9Male,9,Male,SixtyToSixtyfour,50,57,58,73,76,81,83,85,100,0
9Male,9,Male,SixtyfiveToSixtynine,50,59,60,75,77,84,85,87,100,0
9Male,9,Male,SeventyToSeventyfour,47,58,59,73,78,84,85,86,100,0
9Male,9,Male,SeventyfiveToSeventynine,38,51,51,66,72,80,80,82,100,0
9Male,9,Male,EightyToEightyfour,31,45,46,59,66,74,75,77,100,0
9Male,9,Male,EightyfiveToEightynine,25,42,43,55,63,72,72,74,100,0
9Male,9,Male,Ninety,17,36,37,49,57,66,67,69,100,0
9Female,9,Female,lessThan1,0,2,0,0,0,3,0,0,27,100
9Female,9,Female,OneToFour,10,0,0,0,0,0,0,20,100,0
9Female,9,Female,FiveToNine,63,88,0,0,0,0,0,100,0,0
9Female,9,Female,TenToFourteen,11,0,0,0,0,0,0,22,100,0
9Female,9,Female,FifteenToNineteen,20,27,0,0,0,33,53,73,100,0
9Female,9,Female,TwentyToTwentyfour,14,24,0,0,29,38,48,71,100,0
9Female,9,Female,TwentyfiveToTwentyNine,25,29,32,0,36,39,54,61,100,0
9Female,9,Female,ThirtyToThirtyfour,30,35,40,0,44,56,67,74,100,0
9Female,9,Female,ThirtyfiveToThirtynine,55,0,0,56,0,58,64,70,100,0
9Female,9,Female,FourtyToFourtyfour,54,57,0,59,62,66,74,80,100,0
9Female,9,Female,FourtyfiveToFourtynine,61,63,65,67,69,73,78,80,100,0
9Female,9,Female,FiftyToFiftyfour,57,62,63,68,71,77,81,82,100,0
9Female,9,Female,FiftyfiveToFiftyNine,65,71,71,74,78,82,83,85,100,0
9Female,9,Female,SixtyToSixtyfour,62,69,69,73,77,81,82,84,100,0
9Female,9,Female,SixtyfiveToSixtynine,58,68,69,74,79,84,84,86,100,0
9Female,9,Female,SeventyToSeventyfour,49,60,60,68,74,80,80,82,100,0
9Female,9,Female,SeventyfiveToSeventynine,38,51,52,60,68,75,76,77,100,0
9Female,9,Female,EightyToEightyfour,27,41,42,50,59,68,68,70,100,0
9Female,9,Female,EightyfiveToEightynine,18,33,34,44,53,63,63,65,100,0
9Female,9,Female,Ninety,9,25,26,35,44,54,54,57,100,0
10Male,10,Male,lessThan1,0,1,0,0,3,4,0,0,28,100
10Male,10,Male,OneToFour,29,43,0,0,0,0,50,57,100,0
10Male,10,Male,FiveToNine,80,0,0,0,0,100,0,0,0,0
10Male,10,Male,TenToFourteen,23,38,0,0,46,54,0,69,100,0
10Male,10,Male,FifteenToNineteen,9,12,0,0,15,0,44,71,100,0
10Male,10,Male,TwentyToTwentyfour,15,17,19,0,20,26,48,72,100,0
10Male,10,Male,TwentyfiveToTwentyNine,13,15,0,19,21,30,40,68,100,0
10Male,10,Male,ThirtyToThirtyfour,12,20,0,0,0,29,57,65,100,0
10Male,10,Male,ThirtyfiveToThirtynine,30,37,40,42,0,47,69,78,100,0
10Male,10,Male,FourtyToFourtyfour,25,27,0,38,41,45,57,65,100,0
10Male,10,Male,FourtyfiveToFourtynine,34,37,38,53,56,64,76,82,100,0
10Male,10,Male,FiftyToFiftyfour,44,48,49,64,66,71,79,82,100,0
10Male,10,Male,FiftyfiveToFiftyNine,47,52,52,67,71,78,82,85,100,0
10Male,10,Male,SixtyToSixtyfour,54,58,59,71,75,80,84,86,100,0
10Male,10,Male,SixtyfiveToSixtynine,52,59,60,73,76,83,84,86,100,0
10Male,10,Male,SeventyToSeventyfour,49,58,59,73,78,84,85,86,100,0
10Male,10,Male,SeventyfiveToSeventynine,41,51,52,66,73,81,81,83,100,0
10Male,10,Male,EightyToEightyfour,32,46,47,60,67,75,75,77,100,0
10Male,10,Male,EightyfiveToEightynine,24,41,41,56,63,72,72,74,100,0
10Male,10,Male,Ninety,17,36,37,50,57,67,67,69,100,0
10Female,10,Female,lessThan1,0,0,0,0,0,0,0,0,22,100
10Female,10,Female,OneToFour,0,17,0,0,0,33,50,67,100,0
10Female,10,Female,FiveToNine,11,0,0,0,44,0,56,0,100,0
10Female,10,Female,TenToFourteen,33,42,0,0,0,0,58,67,100,0
10Female,10,Female,FifteenToNineteen,15,0,0,0,0,0,31,46,100,0
10Female,10,Female,TwentyToTwentyfour,26,0,30,0,0,0,43,57,100,0
10Female,10,Female,TwentyfiveToTwentyNine,39,0,0,0,0,50,56,61,100,0
10Female,10,Female,ThirtyToThirtyfour,47,51,53,0,56,60,74,84,100,0
10Female,10,Female,ThirtyfiveToThirtynine,62,65,67,71,0,73,76,80,100,0
10Female,10,Female,FourtyToFourtyfour,51,52,53,56,61,66,70,72,100,0
10Female,10,Female,FourtyfiveToFourtynine,62,67,67,69,71,75,80,83,100,0
10Female,10,Female,FiftyToFiftyfour,64,67,68,73,77,78,81,83,100,0
10Female,10,Female,FiftyfiveToFiftyNine,64,67,68,71,76,80,81,85,100,0
10Female,10,Female,SixtyToSixtyfour,62,68,68,72,75,80,81,84,100,0
10Female,10,Female,SixtyfiveToSixtynine,58,66,67,73,77,83,83,85,100,0
10Female,10,Female,SeventyToSeventyfour,51,61,61,68,74,81,81,82,100,0
10Female,10,Female,SeventyfiveToSeventynine,41,52,53,61,68,77,77,78,100,0
10Female,10,Female,EightyToEightyfour,28,39,41,49,59,68,69,71,100,0
10Female,10,Female,EightyfiveToEightynine,18,32,33,43,53,63,63,65,100,0
10Female,10,Female,Ninety,11,26,27,36,45,55,55,58,100,0
