Help,Deprivation Decile (WIMD 2014),Sex,Age,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal
2Female,2,Female,FourtyToFourtyfour,35,43,44,51,54,61,65,70,100,0
2Female,2,Female,FourtyfiveToFourtynine,36,43,44,49,54,61,64,68,100,0
2Female,2,Female,FiftyToFiftyfour,43,54,54,62,66,71,72,76,100,0
2Female,2,Female,FiftyfiveToFiftyNine,49,58,59,68,71,76,76,79,100,0
2Female,2,Female,SixtyToSixtyfour,46,62,63,72,77,82,83,85,100,0
2Female,2,Female,SixtyfiveToSixtynine,46,61,62,73,77,83,83,84,100,0
2Female,2,Female,SeventyToSeventyfour,40,58,59,70,75,81,81,82,100,0
2Female,2,Female,SeventyfiveToSeventynine,33,50,52,61,68,76,76,78,100,0
2Female,2,Female,EightyToEightyfour,23,40,41,51,59,68,68,70,100,0
2Female,2,Female,EightyfiveToEightynine,16,33,34,44,52,61,61,64,100,0
2Female,2,Female,Ninety,9,26,27,36,44,54,0,56,100,0
3Male,3,Male,lessThan1,1,3,0,0,0,4,0,5,36,100
3Male,3,Male,OneToFour,7,26,0,0,0,33,0,41,100,0
3Male,3,Male,FiveToNine,26,42,0,0,0,0,47,53,100,0
3Male,3,Male,TenToFourteen,24,29,0,0,0,41,47,65,100,0
3Male,3,Male,FifteenToNineteen,17,0,0,0,21,25,44,67,100,0
3Male,3,Male,TwentyToTwentyfour,13,14,15,16,16,21,47,64,100,0
3Male,3,Male,TwentyfiveToTwentyNine,7,9,10,11,13,17,37,56,100,0
3Male,3,Male,ThirtyToThirtyfour,12,15,17,20,0,26,44,57,100,0
3Male,3,Male,ThirtyfiveToThirtynine,14,18,19,24,27,35,48,59,100,0
3Male,3,Male,FourtyToFourtyfour,15,19,21,30,33,42,54,64,100,0
3Male,3,Male,FourtyfiveToFourtynine,20,25,27,40,42,51,59,65,100,0
3Male,3,Male,FiftyToFiftyfour,29,35,36,54,58,64,68,72,100,0
3Male,3,Male,FiftyfiveToFiftyNine,34,42,43,63,67,74,76,78,100,0
3Male,3,Male,SixtyToSixtyfour,39,52,53,71,76,83,84,86,100,0
3Male,3,Male,SixtyfiveToSixtynine,43,56,57,74,78,85,85,87,100,0
3Male,3,Male,SeventyToSeventyfour,40,55,56,72,77,83,83,85,100,0
3Male,3,Male,SeventyfiveToSeventynine,34,51,52,68,73,80,80,82,100,0
3Male,3,Male,EightyToEightyfour,30,46,48,62,68,76,76,78,100,0
3Male,3,Male,EightyfiveToEightynine,21,39,41,54,60,69,69,71,100,0
3Male,3,Male,Ninety,16,38,40,52,59,67,67,69,100,0
3Female,3,Female,lessThan1,1,2,0,0,0,6,0,8,28,100
3Female,3,Female,OneToFour,20,30,0,0,0,35,0,40,100,0
3Female,3,Female,FiveToNine,22,44,0,0,0,0,0,56,100,0
3Female,3,Female,TenToFourteen,7,13,0,0,0,27,40,53,100,0
3Female,3,Female,FifteenToNineteen,15,19,0,0,22,26,37,56,100,0
3Female,3,Female,TwentyToTwentyfour,35,38,0,0,40,53,65,73,100,0
3Female,3,Female,TwentyfiveToTwentyNine,16,22,0,0,0,33,50,57,100,0
3Female,3,Female,ThirtyToThirtyfour,34,43,44,0,47,53,62,68,100,0
3Female,3,Female,ThirtyfiveToThirtynine,29,36,37,41,45,54,61,68,100,0
3Female,3,Female,FourtyToFourtyfour,37,42,43,49,56,61,65,70,100,0
3Female,3,Female,FourtyfiveToFourtynine,43,48,49,58,62,68,71,75,100,0
3Female,3,Female,FiftyToFiftyfour,49,57,57,64,67,73,76,78,100,0
3Female,3,Female,FiftyfiveToFiftyNine,48,56,57,65,70,74,76,77,100,0
3Female,3,Female,SixtyToSixtyfour,47,60,61,69,73,80,81,82,100,0
3Female,3,Female,SixtyfiveToSixtynine,47,60,61,71,75,82,82,83,100,0
3Female,3,Female,SeventyToSeventyfour,41,55,56,66,72,80,80,81,100,0
3Female,3,Female,SeventyfiveToSeventynine,32,49,51,61,68,74,75,76,100,0
3Female,3,Female,EightyToEightyfour,25,42,43,53,60,69,69,71,100,0
3Female,3,Female,EightyfiveToEightynine,16,32,33,45,53,63,63,65,100,0
3Female,3,Female,Ninety,10,26,27,36,45,56,56,59,100,0
4Male,4,Male,lessThan1,1,2,0,0,0,6,0,8,28,100
4Male,4,Male,OneToFour,20,30,0,0,0,35,0,40,100,0
4Male,4,Male,FiveToNine,22,44,0,0,0,0,0,56,100,0
4Male,4,Male,TenToFourteen,7,13,0,0,0,27,40,53,100,0
